Phi[deg],Theta[deg],dB(GainTotal)
0,0,-1.02759
5,0,-1.02759
10,0,-1.02759
15,0,-1.02759
20,0,-1.02759
25,0,-1.02759
30,0,-1.02759
35,0,-1.02759
40,0,-1.02759
45,0,-1.02759
50,0,-1.02759
55,0,-1.02759
60,0,-1.02759
65,0,-1.02759
70,0,-1.02759
75,0,-1.02759
80,0,-1.02759
85,0,-1.02759
90,0,-1.02759
95,0,-1.02759
100,0,-1.02759
105,0,-1.02759
110,0,-1.02759
115,0,-1.02759
120,0,-1.02759
125,0,-1.02759
130,0,-1.02759
135,0,-1.02759
140,0,-1.02759
145,0,-1.02759
150,0,-1.02759
155,0,-1.02759
160,0,-1.02759
165,0,-1.02759
170,0,-1.02759
175,0,-1.02759
180,0,-1.02759
185,0,-1.02759
190,0,-1.02759
195,0,-1.02759
200,0,-1.02759
205,0,-1.02759
210,0,-1.02759
215,0,-1.02759
220,0,-1.02759
225,0,-1.02759
230,0,-1.02759
235,0,-1.02759
240,0,-1.02759
245,0,-1.02759
250,0,-1.02759
255,0,-1.02759
260,0,-1.02759
265,0,-1.02759
270,0,-1.02759
275,0,-1.02759
280,0,-1.02759
285,0,-1.02759
290,0,-1.02759
295,0,-1.02759
300,0,-1.02759
305,0,-1.02759
310,0,-1.02759
315,0,-1.02759
320,0,-1.02759
325,0,-1.02759
330,0,-1.02759
335,0,-1.02759
340,0,-1.02759
345,0,-1.02759
350,0,-1.02759
355,0,-1.02759
360,0,-1.02759
0,5,-1.07298
5,5,-1.10782
10,5,-1.14226
15,5,-1.17603
20,5,-1.20886
25,5,-1.24048
30,5,-1.27063
35,5,-1.29906
40,5,-1.32552
45,5,-1.34979
50,5,-1.37167
55,5,-1.39094
60,5,-1.40744
65,5,-1.42102
70,5,-1.43154
75,5,-1.43889
80,5,-1.443
85,5,-1.44381
90,5,-1.4413
95,5,-1.43548
100,5,-1.42638
105,5,-1.41407
110,5,-1.39866
115,5,-1.38027
120,5,-1.35906
125,5,-1.33522
130,5,-1.30896
135,5,-1.28051
140,5,-1.25013
145,5,-1.2181
150,5,-1.1847
155,5,-1.15022
160,5,-1.11496
165,5,-1.07923
170,5,-1.04334
175,5,-1.00757
180,5,-0.972214
185,5,-0.937554
190,5,-0.903855
195,5,-0.871363
200,5,-0.840313
205,5,-0.810916
210,5,-0.783368
215,5,-0.757843
220,5,-0.734495
225,5,-0.713458
230,5,-0.694849
235,5,-0.678764
240,5,-0.665283
245,5,-0.654467
250,5,-0.646365
255,5,-0.641008
260,5,-0.638414
265,5,-0.638587
270,5,-0.64152
275,5,-0.647189
