datetime,East (G),North (G),Down (G)
2025-06-05 20:05:00,-0.0013929722,0.14734441,0.045755345
2025-06-05 21:05:00,0.00020161038,0.1434838,-0.06141832
2025-06-05 22:05:00,0.0027592252,0.14263155,-0.07142663
2025-06-05 23:05:00,0.0057675275,0.14305075,-0.087056935
2025-06-06 00:05:00,-0.19616413,0.0627909,-0.5827345
2025-06-06 01:05:00,-0.286269,0.019619457,-0.57325137
2025-06-06 02:05:00,-0.3552452,-0.046241447,-0.49853462
2025-06-06 03:05:00,-0.4094846,-0.16037537,-0.3236879
2025-06-06 04:05:00,-0.37299627,-0.1712346,-0.20069006
2025-06-06 05:05:00,-0.33519003,-0.13305359,-0.1478594
2025-06-06 06:05:00,-0.2944285,-0.1172979,-0.086995795
2025-06-06 07:05:00,-0.25151014,-0.123796746,-0.024369475
2025-06-06 08:05:00,-0.18247132,-0.12265609,0.019249339
2025-06-06 09:05:00,-0.14098257,-0.056674793,0.033080004
2025-06-06 10:05:00,-0.11379445,0.032174848,0.037328247
2025-06-06 11:05:00,-0.09815459,0.105151296,0.03775527
2025-06-06 12:05:00,-0.080744356,0.13331346,0.005767254
2025-06-06 13:05:00,-0.050857015,0.17418171,-0.012548137
2025-06-06 14:05:00,-0.042421572,0.16800894,0.020951081
2025-06-06 15:05:00,-0.0232477,0.17478848,0.061664056
2025-06-06 16:05:00,-0.011411149,0.17630795,0.08144854
2025-06-06 17:05:00,-0.0029048626,0.17629448,0.09325653
2025-06-06 18:05:00,0.0014251652,0.17318407,0.09411369
2025-06-06 19:05:00,0.003935817,0.16600457,0.08523671
