NORAD_ID,Tempo (UTC),East (G),North (G),Down (G)
27844U,2025-06-05T18:05:31,-0.011134894481902385,0.17649780042661203,0.2839925455991119
27844U,2025-06-05T18:06:25,-0.013238629888719869,0.16688220228447756,0.30466352840904154
27844U,2025-06-05T18:07:19,-0.014897118983859384,0.15613942485633203,0.3242914308642504
27844U,2025-06-05T18:08:13,-0.016083553975999396,0.1442874175284571,0.3425965584974696
27844U,2025-06-05T18:09:07,-0.016779309893200898,0.1314061075749827,0.3592981565415025
27844U,2025-06-05T18:10:01,-0.016968700883339412,0.11764121506957297,0.37413621899415395
27844U,2025-06-05T18:10:55,-0.01663209108902831,0.10320375585039919,0.3868932937720582
27844U,2025-06-05T18:11:49,-0.01573756347446683,0.08836696749098333,0.3974135477214001
27844U,2025-06-05T18:12:43,-0.014230765250549695,0.07346542413435837,0.40561657349560076
27844U,2025-06-05T18:13:37,-0.012021815461518268,0.05890674883354417,0.4115041217137768
27844U,2025-06-05T18:14:31,-0.008969509649250902,0.045218140522558584,0.41515893829404343
27844U,2025-06-05T18:15:25,-0.0048777512273107185,0.03317313295987646,0.4167359372709112
27844U,2025-06-05T18:16:19,0.00040881433955935244,0.024058232734531483,0.41644683668922106
27844U,2025-06-05T18:17:13,0.006530606897951489,0.019916951960975975,0.4145400141977698
27844U,2025-06-05T18:18:07,0.011746651286687984,0.022583418743021583,0.4112776852746329
27844U,2025-06-05T18:19:01,0.013861024346111514,0.03093472511331963,0.4069126212256025
27844U,2025-06-05T18:19:55,0.012990804394967768,0.041550862381882485,0.4016665672789955
27844U,2025-06-05T18:20:49,0.010700043932041662,0.05232199096610977,0.39571232248901245
27844U,2025-06-05T18:21:43,0.00806974292837487,0.06273076194126977,0.3891610916787808
27844U,2025-06-05T18:22:37,0.00556719347571978,0.07283022032747143,0.3820561905799771
27844U,2025-06-05T18:23:31,0.003365095004164136,0.08278815414361688,0.37437348393363995
27844U,2025-06-05T18:24:25,0.0015134739693840869,0.09276588942465946,0.36602813148090096
27844U,2025-06-05T18:25:19,4.897620481793884e-06,0.10288661729901905,0.356886443193257
27844U,2025-06-05T18:26:13,-0.0012004642524631776,0.11322478299973866,0.3467810693802479
27844U,2025-06-05T18:27:07,-0.0021624268598252113,0.12380232284616473,0.33552751562567495
27844U,2025-06-05T18:28:01,-0.002952117372631527,0.13458884487444048,0.3229401403992911
27844U,2025-06-05T18:28:55,-0.003644716351938106,0.14550456270874576,0.3088463210395706
27844U,2025-06-05T18:29:49,-0.004313357044165611,0.15642485411670667,0.2930982190611525
27844U,2025-06-05T18:30:43,-0.005024397472157227,0.16718539859547435,0.2755823374761391
27844U,2025-06-05T18:31:37,-0.0058342075945839456,0.17758722528736162,0.2562276378987832
27844U,2025-06-05T18:32:31,-0.0067873999539253905,0.1874016010154452,0.23501322038815925
27844U,2025-06-05T18:33:25,-0.007916239911075663,0.19637533713265978,0.21197639497035142
27844U,2025-06-05T18:34:19,-0.009240859479823843,0.2042376053740384,0.18722141653331678
27844U,2025-06-05T18:35:13,-0.01076987534921752,0.21070956526530502,0.16092832863814877
27844U,2025-06-05T18:36:07,-0.012501063042723052,0.215517911952264,0.13336045034282012
27844U,2025-06-05T18:37:01,-0.01442184529753245,0.2184128224304978,0.10486827011733722
27844U,2025-06-05T18:37:55,-0.016509494569399367,0.219189770652596,0.07588711783109546
27844U,2025-06-05T18:38:49,-0.018731108708958878,0.217713457872089,0.0469261699556529
27844U,2025-06-05T18:39:43,-0.02104357376466946,0.21394091511824842,0.01854721673392439
27844U,2025-06-05T18:40:37,-0.02339385075648463,0.20793998897518015,-0.008666845498014997
27844U,2025-06-05T18:41:31,-0.025719981605142692,0.19989922411725333,-0.03415184286858382
27844U,2025-06-05T18:42:25,-0.027953173228958093,0.19012582114600493,-0.057406449263563634
27844U,2025-06-05T18:43:19,-0.030021172009819432,0.1790299156061871,-0.07803492726644716
27844U,2025-06-05T18:44:13,-0.03185289210968224,0.16709570003846796,-0.09578205838927047
27844U,2025-06-05T18:45:07,-0.03338394977021422,0.1548424685863485,-0.11055436494002027
27844U,2025-06-05T18:46:01,-0.034562448191636244,0.14278091562766998,-0.12242361992904224
27844U,2025-06-05T18:46:55,-0.03535413404632041,0.13137135799972818,-0.13161164074420778
27844U,2025-06-05T18:47:49,-0.03574598028593008,0.12099052004341654,-0.1384588678265426
27844U,2025-06-05T18:48:43,-0.03574738428569381,0.11191197884573234,-0.14338242298680962
27844U,2025-06-05T18:49:37,-0.035388502538108206,0.10430256878052967,-0.14683139308764673
27844U,2025-06-05T18:50:31,-0.034715717809342475,0.09823361815948634,-0.14924739252163696
27844U,2025-06-05T18:51:25,-0.033784753418572504,0.09370269386806017,-0.15103685191555957
27844U,2025-06-05T18:52:19,-0.03265239280413252,0.09065941578371879,-0.15255831227706257
27844U,2025-06-05T18:53:13,-0.031368020953618,0.08902846562807394,-0.15412408434632202
27844U,2025-06-05T18:54:07,-0.02996620667821294,0.08872429235924761,-0.15601202066670306
27844U,2025-06-05T18:55:01,-0.028461278759046377,0.08965482180133923,-0.15848084219052455
27844U,2025-06-05T18:55:55,-0.026844363946411744,0.09171489634328803,-0.16178209439196042
27844U,2025-06-05T18:56:49,-0.02508274568155674,0.09477319445172482,-0.1661634382946218
27844U,2025-06-05T18:57:43,-0.02312077838616683,0.09865812052366794,-0.17186106454349764
27844U,2025-06-05T18:58:37,-0.020881036308204728,0.10314811853300977,-0.17908257299111924
27844U,2025-06-05T18:59:31,-0.018263905223865295,0.10797008825025586,-0.18798458651219827
27844U,2025-06-05T19:00:25,-0.015143351112952733,0.11280654989729534,-0.19865077556770697
27844U,2025-06-05T19:01:19,-0.011355987475311977,0.11730889004139607,-0.21107581315138627
27844U,2025-06-05T19:02:13,-0.0066792300887235185,0.12110961838602277,-0.22515819631964012
27844U,2025-06-05T19:03:07,-0.0007927956409600885,0.12382295956000981,-0.24070327241307315
27844U,2025-06-05T19:04:01,0.006783916298604758,0.12501270176046944,-0.2574342690489502
27844U,2025-06-05T19:04:55,0.016778281828806755,0.12408456765800235,-0.2750083041723704
27844U,2025-06-05T19:05:49,0.030216109985956627,0.12001382088663153,-0.2930340670975718
27844U,2025-06-05T19:06:43,0.048108627862058044,0.11080812958912048,-0.3110889821372274
27844U,2025-06-05T19:07:37,0.06970709467979129,0.09322506225385928,-0.3287352852535117
27844U,2025-06-05T19:08:31,0.08899555414007894,0.06591124177660328,-0.3455357924749759
27844U,2025-06-05T19:09:25,0.0975140448488123,0.03651700246080299,-0.3610706001759014
27844U,2025-06-05T19:10:19,0.09563263731945834,0.01624597390816167,-0.3749553440853296
27844U,2025-06-05T19:11:13,0.08965608644693157,0.007729784509559398,-0.3868602582836392
27844U,2025-06-05T19:12:07,0.08347936278164388,0.007984548048296944,-0.39652776520942634
27844U,2025-06-05T19:13:01,0.07827061090852555,0.013826478787033808,-0.4037854036272306
27844U,2025-06-05T19:13:55,0.0741180153694299,0.023093433097163222,-0.4085510389475733
27844U,2025-06-05T19:14:49,0.07082561919381984,0.03441707707367484,-0.41082854874636787
27844U,2025-06-05T19:15:43,0.06816594252771599,0.046919812457943966,-0.41069415049137914
27844U,2025-06-05T19:16:37,0.06594517724551606,0.060029202882158336,-0.40827558487103643
27844U,2025-06-05T19:17:31,0.06401374608557464,0.0733740710349654,-0.40372782902384785
27844U,2025-06-05T19:18:25,0.062262392513472646,0.08672193389925413,-0.3972094751463204
27844U,2025-06-05T19:19:19,0.06061504238666306,0.09993578662138464,-0.3888633334009327
27844U,2025-06-05T19:20:13,0.059021451891400505,0.11294053387042843,-0.3788035160295318
27844U,2025-06-05T19:21:07,0.057450500506336113,0.12569556035848972,-0.3671097352169516
27844U,2025-06-05T19:22:01,0.05588446408748858,0.1381725100112872,-0.35382827928697336
27844U,2025-06-05T19:22:55,0.054314421480552044,0.15033810344453014,-0.33897839701168087
27844U,2025-06-05T19:23:49,0.05273678510341509,0.16214188083133071,-0.3225626214383201
27844U,2025-06-05T19:24:43,0.05115077803215625,0.17350872190349467,-0.30457968507186395
27844U,2025-06-05T19:25:37,0.04955656160316181,0.1843360808626356,-0.2850388196001303
27844U,2025-06-05T19:26:31,0.04795369674535805,0.19449601217861143,-0.26397417729403366
27844U,2025-06-05T19:27:25,0.046339709562634314,0.20384205034909395,-0.2414578263727841
27844U,2025-06-05T19:28:19,0.0447086955489766,0.21222066611450457,-0.21760942658806373
27844U,2025-06-05T19:29:13,0.04305007761087247,0.2194863261431587,-0.192600566884218
27844U,2025-06-05T19:30:07,0.04134776610926868,0.22551829738843435,-0.16665210328100208
27844U,2025-06-05T19:31:01,0.03958000774417756,0.2302365683591979,-0.14002377417197173
27844U,2025-06-05T19:31:55,0.037720140893020095,0.23361394036401167,-0.11299676643659638
27844U,2025-06-05T19:32:49,0.035738320765234956,0.23568169583063742,-0.08585142731778832
27844U,2025-06-05T19:33:43,0.03360408785174706,0.23652729324012317,-0.05884353187044187
27844U,2025-06-05T19:34:37,0.03128948565068687,0.23628405284314008,-0.03218304179244591
27848U,2025-06-05T18:05:31,0.05527518678455345,0.14264879818497386,-0.3485965158748026
27848U,2025-06-05T18:06:25,0.05370200348925031,0.1546887540879458,-0.33316731011250894
27848U,2025-06-05T18:07:19,0.052120581470969596,0.16634127501217402,-0.3161708713314226
